school_name,mean_shortest_m,mean_safest_m,mean_detour_m,mean_detour_ratio,count_addresses
Amager Fælled Skole,292.1419714285714,494.54916507936514,202.40719365079372,1.5564724713607483,315
Arena Skole og Fritid,1620.1318483796297,1692.9399363425928,72.80808796296307,1.0399408237927508,864
Bavnehøj Skole,1416.6101213640923,2187.452289869609,770.8421685055165,1.5069500729651415,997
Bellahøj Skole,581.0426403508773,767.7141354775828,186.67149512670562,1.2770655652232215,1026
Blågård Skole,673.0727641921397,1380.552959970888,707.4801957787482,2.004258960603715,1374
Brønshøj Skole,616.6864719956499,959.3348162044589,342.64834420880914,1.4727871099623004,1839
Christianshavns Skole,1074.6105126182965,1661.253773264984,586.6432606466875,1.391703660795341,2536
Damhusengens Skole,858.368363446111,1264.6051705615625,406.2368071154517,1.4919960863251396,2867
Den Classenske Legatskole,985.3442833922262,1269.2853374558304,283.94105406360416,1.2727844714485936,2830
Dyvekeskolen,1197.7876632094496,1620.8367798905213,423.04911668107167,1.4047452343324391,3471
Ellebjerg Skole,701.8197418576598,907.7222340168878,205.90249215922802,1.3004907518764062,829
Engskolen,538.3647929292929,753.5521414141415,215.18734848484857,1.4701758906047897,594
Fensmarkskolen,477.16757774607703,607.7650613409415,130.5974835948645,1.2531879227435352,701
Frederiksgård Skole,412.28693390804597,494.7817183908046,82.4947844827586,1.2106708474145986,348
Frejaskolen,475.1176812080536,536.2446845637584,61.1270033557047,1.0898749745894274,596
Fælledby Skole,892.81843575419,1007.8942458100558,115.07581005586592,1.1205904765531816,358
Gerbrandskolen,666.8611462862319,840.110736865942,173.24959057971012,1.2543320457582345,2208
Grøndalsvængets Skole,510.8245317647059,1124.2212611764708,613.3967294117649,1.8232826271395943,850
Guldberg Skole,793.9997028824835,1339.0615343680709,545.0618314855876,1.8131214428906701,902
Hanssted Skole,455.26980026990555,555.5308812415655,100.2610809716599,1.1517395304697962,741
Heerup Skole,715.8182995391707,799.3138479262674,83.49554838709672,1.1162826556280587,868
Heibergskolen,256.3886,418.56722222222226,162.17862222222226,1.3468563459206913,180
Holbergskolen,748.5091496374422,832.4489004614371,83.93975082399471,1.1320697137692592,1517
Husum Skole,701.4078701875617,896.7788692003949,195.37099901283315,1.2423102641274304,2026
Kalvebod Fælled Skole,643.6117261904762,680.36886996337,36.75714377289376,1.0531420200548725,1092
Katrinedals Skole,546.150323782235,893.1152120343841,346.964888252149,1.634857106127182,1396
Kildevældsskolen,508.69872129963903,769.0394101083033,260.3406888086643,1.4283824471762239,1385
Kirkebjerg Skole,886.533775633293,1255.432275030157,368.8984993968639,1.3724290996041835,1658
Kirsebærhavens Skole,989.1315875331566,2189.3024993368695,1200.170911803713,2.2841270642128637,1508
Korsager Skole,1058.4533318496535,1167.1668748763598,108.71354302670618,1.087470542515832,2022
Langelinieskolen,1077.242458695652,1814.1848572463766,736.9423985507246,1.6130016837445504,1380
Lergravsparkens Skole,794.1051699463328,1035.2099284436495,241.10475849731668,1.329218495435583,1677
Lundehusskolen,1131.9594569632495,1653.5205594777563,521.5611025145068,1.4883467793842287,2068
Lykkebo Skole,794.1385170760935,1066.2555308568005,272.117013780707,1.2938857993747601,1669
Nordøstamager Skole,1011.9594828680204,1118.7175932741118,106.75811040609142,1.1595088034750882,1576
Nyboder Skole,855.405662090813,1244.4352745512144,389.0296124604012,1.6328796993452328,1894
Nørre Fælled Skole,661.454590984975,1701.0397328881468,1039.5851419031717,2.451688472517738,1198
Nørrebro Park Skole,432.4061915708812,511.0712413793104,78.66504980842913,1.1320708382637503,261
Oehlenschlægersgades Skole,601.8774746268657,1044.9166641791044,443.03918955223867,1.6439867287955259,670
Peder Lykke Skolen,893.6923432835821,1141.9997949383517,248.30745165476958,1.271383423783367,1541
Randersgades Skole,387.48342819148934,555.182335106383,167.69890691489357,1.4346872357297167,376
Rosenvængets Skole,221.07196428571427,223.28699999999998,2.2150357142857158,1.0077501994295073,28
Rådmandsgades Skole,532.7228771266541,1063.9622032136106,531.2393260869565,1.8722087419920699,1058
Rødkilde Skole,703.7485258264462,902.2445805785123,198.49605475206613,1.2508644190927556,968
Skolen i Charlottegården,366.8294973070018,626.2181364452423,259.3886391382406,1.6795304365950026,557
Skolen i Peter Vedels Gade,893.4453932926829,927.6824390243903,34.237045731707326,1.0474199082653035,328
Skolen i Sydhavnen,681.8475359116022,1144.2182582872929,462.37072237569066,1.7031601188398204,724
Skolen på Amagerbro,755.859350099272,1056.7401925876904,300.88084248841835,1.4151138026533305,1511
Skolen på Islands Brygge,1548.0984355444307,1878.8502428035044,330.7518072590737,1.2353197993542575,1598
Skolen på Strandboulevarden,356.20579935275083,1096.478566343042,740.2727669902912,2.763165153150789,309
Skolen ved Dybbølsbro,895.1280853189853,1562.4150053804765,667.2869200614911,1.7035928240074691,1301
Skolen ved Sundet,802.10095504886,2441.057923127036,1638.9569680781758,2.7418734043220776,1535
Sluseholmen Skole,651.0709871794872,813.5573525641026,162.4863653846154,1.2165246797739835,624
Sortedamskolen,628.938349106204,912.2155268138803,283.27717770767623,1.4155627124974182,951
Specialskolen i Ørestad,399.3130574412533,854.5313655352481,455.21830809399484,1.9636195050614806,383
Strandparkskolen,899.910468881119,1278.1843643356644,378.27389545454537,1.4192558114658693,2860
Strandvejsskolen,575.0694439592431,872.3884672489082,297.3190232896652,1.5306456354278857,687
Sundbyøster Skole,766.5388912,915.1567911999998,148.6178999999999,1.1762330009660134,1250
Sølvgades Skole,1257.294225225225,1847.87959009009,590.5853648648648,1.5541933708387496,1554
Tagensbo Skole,651.312421086262,864.5890798722044,213.27665878594252,1.3593658008218585,1565
Tingbjerg Skole,621.1190202108963,827.6016098418278,206.48258963093147,1.3485549048957546,1138
Tove Ditlevsens Skole,347.1089188481676,598.7005052356021,251.59158638743457,1.7315292871750958,382
Utterslev Skole,668.6546658184902,831.8366776929602,163.1820118744699,1.2476590596207444,1179
Valby Skole,583.1852801724137,632.6405,49.45521982758622,1.083953593905256,464
Vesterbro Ny Skole,555.7305664505674,642.3023849270664,86.57181847649919,1.13982944078585,1234
Vibenshus Skole,1148.7179723404254,1482.0493468085106,333.3313744680852,1.2696905710538287,940
Vigerslev Allés Skole,564.6090584088621,720.0520654582075,155.4430070493454,1.2492176739096714,993
Ålholm Skole,1043.2990929292928,1180.315969023569,137.01687609427614,1.114285948607115,1485
Ørestad Skole,709.9202498130142,1405.2740912490651,695.3538414360509,1.9315622819367457,1337
Øresundsskolen,1258.0343775252525,1431.4387184343436,173.40434090909088,1.150700412082115,792
Øster Farimagsgades Skole,420.3314539813857,719.0376256463288,298.7061716649431,1.954524931500074,967
